customer_id,name,dob,city,segment,gender,phone,plan_code,tenure_months,monthly_charges,kaggle_churn_label
7590-VHVEG,Krystal Goodwin,1965-12-02,Mansoura,Prepaid,F,01282381739,PLAN_A,1,29.85,No
5575-GNVDE,Michael Brown,2001-09-21,Cairo,Postpaid,M,01097138408,PLAN_B,34,56.95,No
3668-QPYBK,Wyatt Kelly,1968-12-31,Cairo,Prepaid,M,01180067590,PLAN_A,2,53.85,Yes
7795-CFOCW,Angela Donovan,2002-04-22,Mansoura,Postpaid,M,01159711219,PLAN_B,45,42.3,No
9237-HQITU,Kelly Rogers,1972-01-23,Giza,Prepaid,F,01081110769,PLAN_A,2,70.7,Yes
9305-CDSKC,Dr. Amy Mays,1983-06-20,Alexandria,Prepaid,F,01140801123,PLAN_A,8,99.65,Yes
1452-KIOVK,Caitlyn Gilbert,1999-04-07,Alexandria,Prepaid,M,01161168696,PLAN_A,22,89.1,No
6713-OKOMC,Michelle Jenkins,1959-07-30,Alexandria,Prepaid,F,01189060695,PLAN_A,10,29.75,No
7892-POOKP,Jesse Garcia,1986-01-27,Mansoura,Prepaid,F,01287325627,PLAN_A,28,104.8,Yes
6388-TABGU,Aaron Davis,1986-01-23,Cairo,Postpaid,M,01067108220,PLAN_B,62,56.15,No
9763-GRSKD,Meghan Wells,1963-02-22,Mansoura,Prepaid,M,01044160831,PLAN_A,13,49.95,No
7469-LKBCI,Jason Lee,1968-03-14,Mansoura,Business,M,01141207351,PLAN_C,16,18.95,No
8091-TTVAX,James Chavez,1989-08-01,Aswan,Postpaid,M,01048019408,PLAN_B,58,100.35,No
0280-XJGEX,Jenny Sparks,2007-08-01,Cairo,Prepaid,M,01282978342,PLAN_A,49,103.7,Yes
5129-JLPIS,Gina Swanson MD,1958-02-26,Aswan,Prepaid,M,01144601998,PLAN_A,25,105.5,No
3655-SNQYZ,Zachary Farmer,2003-03-27,Luxor,Business,F,01010734097,PLAN_C,69,113.25,No
8191-XWSZG,Thomas Johnson,1983-05-20,Cairo,Postpaid,F,01210954835,PLAN_B,52,20.65,No
9959-WOFKT,Alexandra Smith,2000-05-28,Cairo,Business,M,01280134216,PLAN_C,71,106.7,No
4190-MFLUW,Aaron Keith,1976-03-08,Cairo,Prepaid,F,01079761254,PLAN_A,10,55.2,Yes
4183-MYFRB,Caitlin Collins,1957-06-08,Alexandria,Prepaid,F,01060335658,PLAN_A,21,90.05,No
8779-QRDMV,David Weber,1998-03-05,Alexandria,Prepaid,M,01237570830,PLAN_A,1,39.65,Yes
1680-VDCWW,Paul Thompson,1996-06-07,Aswan,Postpaid,M,01252399610,PLAN_B,12,19.8,No
1066-JKSGK,James Fisher,1998-04-27,Aswan,Prepaid,M,01158623028,PLAN_A,1,20.15,Yes
3638-WEABW,Jeff Olson,1980-09-08,Cairo,Business,F,01030774029,PLAN_C,58,59.9,No
6322-HRPFA,Jeff Washington,1998-02-02,Aswan,Prepaid,M,01197453041,PLAN_A,49,59.6,No
6865-JZNKO,Joseph Beck,1973-09-28,Alexandria,Prepaid,F,01244042008,PLAN_A,30,55.3,No
6467-CHFZW,Alexis Nguyen,1983-07-21,Mansoura,Prepaid,M,01181954780,PLAN_A,47,99.35,Yes
8665-UTDHZ,Jasmine Harding,1962-10-03,Mansoura,Prepaid,M,01185788756,PLAN_A,1,30.2,Yes
5248-YGIJN,Thomas Morris,1971-12-19,Mansoura,Business,M,01192125234,PLAN_C,72,90.25,No
8773-HHUOZ,Jennifer Schroeder,1971-12-07,Aswan,Prepaid,F,01163345392,PLAN_A,17,64.7,Yes
3841-NFECX,Brian Goodman,1992-11-07,Luxor,Business,F,01065462544,PLAN_C,71,96.35,No
4929-XIHVW,Johnathan Turner,1963-02-27,Alexandria,Prepaid,M,01284834795,PLAN_A,2,95.5,No
6827-IEAUQ,Tommy Kennedy,1994-05-05,Luxor,Postpaid,F,01133987338,PLAN_B,27,66.15,No
7310-EGVHZ,Alexander Juarez,1965-03-22,Aswan,Prepaid,M,01185040303,PLAN_A,1,20.2,No
3413-BMNZE,Nicholas Oneal,1964-01-23,Giza,Prepaid,M,01274929189,PLAN_A,1,45.25,No
6234-RAAPL,Gabriel Wang,1994-06-29,Tanta,Business,F,01151158280,PLAN_C,72,99.9,No
